Rank	State	2015	2014	2013	2012	2011
1	Maryland	75847	73,971	$72,483	$71,122	$70,004
2	Hawaii	73486	69,592	$68,020	$66,259	$61,821
3	Alaska	73355	71,583	$72,237	$67,712	$67,825
4	New Jersey	72222	71,919	$70,165	$69,667	$67,458
5	Connecticut	71346	70,048	$67,098	$67,276	$65,753
6	Massachusetts	70628	69,160	$66,768	$65,339	$62,859
7	New Hampshire	70303	66,532	$64,230	$63,280	$62,647
8	Virginia	66262	64,902	$62,666	$61,741	$61,882
9	California	64500	61,933	$60,190	$58,328	$57,287
10	Washington	64129	61,366	$58,405	$57,573	$56,835
11	Colorado	63909	61,303	$58,823	$56,765	$55,387
12	Minnesota	63488	61,481	$60,702	$58,906	$56,954
13	Utah	62912	60,922	$59,770	$57,049	$55,869
14	Delaware	61255	59,716	$57,846	$58,415	$58,814
15	New York	60850	58,878	$57,369	$56,448	$55,246
16	North Dakota	60557	59,029	$55,759	$53,585	$51,704
17	Wyoming	60,214	57055	$58,752	$54,901	$56,322
18	Illinois	59588	57,444	$56,210	$55,137	$53,234
19	Rhode Island	58073	54,891	$55,902	$54,554	$53,636
20	Vermont	56,990	54166	$52,578	$52,977	$52,776
21	Pennsylvania	55702	53,234	$52,007	$51,230	$50,228
22	Texas	55,653	53035	$51,704	$50,740	$49,392
23	Wisconsin	55638	52,622	$51,467	$51,059	$50,395
24	Nebraska	54996	52,686	$51,440	$50,723	$50,296
25	Iowa	54736	53,712	$52,229	$50,957	$49,427
26	Oregon	54148	51,075	$50,251	$49,161	$46,816
27	Kansas	53906	52,504	$50,972	$50,241	$48,964
28	South Dakota	53017	50,979	$48,947	$48,362	$48,321
29	Nevada	52431	51,450	$51,230	$49,760	$48,927
30	Maine	51494	49,462	$46,974	$46,709	$46,033
31	Arizona	51492	50,068	$48,510	$47,826	$46,709
32	Georgia	51244	49,321	$47,829	$47,209	$46,007
33	Michigan	51084	49,847	$48,273	$46,859	$45,981
34	Ohio	51075	49,308	$48,081	$46,829	$45,749
35	Indiana	50532	49,446	$47,529	$46,974	$46,438
36	Missouri	50238	48,363	$46,931	$45,321	$45,247
37	Montana	49509	46,328	$46,972	$45,076	$44,222
38	Florida	49426	47,463	$46,036	$45,040	$44,299
39	Oklahoma	48568	47,529	$45,690	$44,312	$43,225
40	Idaho	48275	47,861	$46,783	$45,489	$43,341
41	North Carolina	47830	46,556	$45,906	$45,150	$43,916
42	Tennessee	47275	44,361	$44,297	$42,764	$41,693
43	South Carolina	47238	45,238	$44,163	$43,107	$42,367
44	Louisiana	45727	44,555	$44,164	$42,944	$41,734
45	New Mexico	45382	44,803	$43,872	$42,558	$41,963
46	Kentucky	45215	42,958	$43,399	$41,724	$41,141
47	Alabama	44765	42,830	$42,849	$41,574	$41,415
48	West Virginia	42019	41,059	$41,253	$40,196	$38,482
49	Arkansas	41995	41,262	$40,511	$40,112	$38,758
50	Mississippi	40593	39,680	$37,963	$37,095	$36,919
51	District of Columbia	75628	71,648	$67,572	$66,583	$63,124
